job_id,posting_year,country,region,company_name,company_size,industry,job_title,seniority_level,ai_mentioned,ai_keywords,ai_intensity_score,core_skills,ai_skills,salary_usd,salary_change_vs_prev_year_percent,automation_risk_score,reskilling_required,ai_job_displacement_risk,job_description_embedding_cluster,industry_ai_adoption_stage,Core_Business Analysis,Core_Cloud Computing,Core_Communication,Core_Data Analysis,Core_Project Management,Core_Python,Core_Research,Core_SQL,Core_Software Engineering,Core_Statistics,AI_LLMs,AI_MLOps,AI_NLP,AI_computer vision,AI_deep learning,AI_generative AI,AI_machine learning,AI_reinforcement learning
87e6f4f5-16ce-4479-9ce4-6d3973e37e11,2010,Indonesia,Southeast Asia,Future Analytics,Enterprise,Energy,Product Manager,Junior,False,None,0.01,"Statistics, Communication, Business Analysis, Data Analysis, Project Management, Software Engineering",None,31284,-3.64,0.74,False,Low,15,Emerging,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
c41a9305-8dd1-4716-8953-2be6a0f256d7,2010,Italy,Europe,Prime Systems,Small,Agriculture,Data Scientist,Lead,False,None,0.19,"Software Engineering, Communication, Research, Data Analysis, SQL",None,60960,1.97,0.64,False,Low,8,Emerging,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False
af0a8661-6ad5-4679-9166-596671dabb4e,2010,Pakistan,South Asia,Global Solutions,Small,Manufacturing,AI Researcher,Lead,False,None,0.11,"Python, Data Analysis, Cloud Computing, Communication, SQL",None,21791,-3.9,0.86,False,High,13,Emerging,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
c14573ab-bda8-4a12-a65d-9a908b9345c1,2010,Argentina,South America,Global Technologies,Medium,Government,Policy Analyst,Junior,False,None,0.08,"Software Engineering, Research, Business Analysis, Data Analysis, SQL",None,31890,0.02,0.78,False,Medium,17,Emerging,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False
e81fff60-4d14-4bb3-b4d2-98375f1333ef,2010,Bangladesh,South Asia,NextGen Analytics,Small,Education,AI Researcher,Lead,False,None,0.02,"Cloud Computing, Business Analysis, Software Engineering, Communication, Statistics",None,22997,-0.21,0.67,False,Medium,9,Emerging,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
f7a45b96-b8a4-4ece-8afa-937a6995ab0c,2010,Netherlands,Europe,NextGen Analytics,Enterprise,Education,Policy Analyst,Mid,False,None,0.16,"Data Analysis, SQL, Statistics, Python, Business Analysis, Project Management",None,65776,4.29,0.69,False,Low,2,Emerging,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False
aa7e6587-7a35-4c1c-a895-e8c5d6fd938a,2010,Sri Lanka,South Asia,NextGen Analytics,Large,Manufacturing,ML Engineer,Junior,False,None,0.02,"Cloud Computing, Communication, Software Engineering, SQL, Python",None,22406,4.05,0.89,False,Low,13,Emerging,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
9fc686af-ef4a-4cd5-ad8b-707ccf244cdf,2010,Argentina,South America,Global Analytics,Startup,Tech,AI Researcher,Mid,False,None,0.09,"Business Analysis, Statistics, Cloud Computing, Communication",None,33771,-3.5,0.88,False,Low,18,Emerging,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
96d96af4-e6ec-4b53-aeaa-25001ab1f9a7,2010,Morocco,Africa,Global Systems,Small,Agriculture,Software Engineer,Executive,False,None,0.14,"Python, SQL, Business Analysis",None,19577,-1.25,0.79,False,Medium,12,Emerging,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
b290f526-b029-423d-a2ff-2d0619490a99,2010,United Kingdom,Europe,Future Solutions,Enterprise,Healthcare,Data Scientist,Lead,False,None,0.17,"Research, Business Analysis, Communication, Software Engineering",None,66649,-4.25,0.75,False,Low,2,Emerging,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
d70a7945-a010-41af-9c2e-f0ea6b954937,2010,Mexico,North America,NextGen Analytics,Startup,Agriculture,Research Scientist,Mid,False,None,0.08,"Research, Business Analysis, Statistics, Cloud Computing, Data Analysis",None,63813,3.04,0.72,False,High,12,Emerging,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
87735b8c-0174-4f63-bee3-4a465c845e0e,2010,India,South Asia,Future Analytics,Large,Education,Research Scientist,Mid,False,None,0.07,"Data Analysis, Software Engineering, Business Analysis, SQL, Project Management",None,20676,-2.4,0.76,False,High,11,Emerging,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
d72386bf-805e-4357-9b1b-ebef4ccc4b01,2010,Vietnam,Southeast Asia,NextGen Systems,Enterprise,Government,Policy Analyst,Executive,False,None,0.07,"Project Management, Python, Software Engineering, Communication",None,29851,3.74,0.69,False,High,16,Emerging,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
0ee5f304-67d0-457f-af2e-236ae874cd7e,2010,China,East Asia,Prime Solutions,Startup,Energy,Software Engineer,Junior,True,"computer vision, reinforcement learning, MLOps, deep learning",0.74,"Python, Project Management, SQL, Business Analysis","computer vision, reinforcement learning, MLOps, deep learning",87947,-1.39,0.3,True,Low,6,Emerging,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True
0e14c8f1-6cfc-4c7d-96d6-9784d127888b,2010,Chile,South America,NextGen Technologies,Enterprise,Government,Policy Analyst,Mid,False,None,0.04,"Business Analysis, Software Engineering, Research, SQL, Communication",None,30828,0.95,0.62,False,Low,1,Emerging,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
df8c6860-b83c-4456-91f5-225f9f52a46e,2010,Italy,Europe,Future Solutions,Medium,Government,Research Scientist,Intern,False,None,0.08,"Data Analysis, Communication, Statistics",None,63343,-0.97,0.83,False,High,19,Emerging,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
e9b1d916-45af-43de-b4d8-de60d0ec624a,2010,Poland,Europe,NextGen Technologies,Large,Finance,Policy Analyst,Intern,True,"machine learning, deep learning",0.92,"Software Engineering, Cloud Computing, Data Analysis, Statistics, SQL, Business Analysis","machine learning, deep learning",74564,-3.26,0.26,True,Medium,5,Emerging,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False
